use_sim_time,graph,init_bots,priority_nodes,init_locations,done,sim_length,random_string,algo_name,parameters,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
True,cair,1,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,1563324327,False,20000,ppa_greedy_cair_57_0,ppa_greedy,0,207.97384444444444,126.3819,248.76981666666663,1100,524,1100,2.129857731615397
True,cair,3,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,1563324011 cluster_1563324002_1563324346 1154147727,False,20000,ppa_greedy_cair_19_0,ppa_greedy,0,93.46076437509724,72.8626925385077,101.38309969686244,807,498,807,1.623567341786628
True,iitb,2,667357419 -266 667357412 4369058864 -222,4369058864 667357412,False,20000,ppa_greedy_iitb_30_0,ppa_greedy,0,373.2673654516059,185.7240662033101,422.62086525378896,3194,1113,3194,2.563857513261848
True,grid_5_5,1,22 9 0 10 23 24,23,False,20000,ppa_greedy_grid_5_5_81_0,ppa_greedy,0,286.5735007503752,236.40374353843592,302.41658197519814,1416,1043,1416,1.4590990546652738
True,cair,3,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,cluster_1563324010_1563324356 1563324324 1563324348,False,20000,ppa_greedy_cair_55_0,ppa_greedy,0,98.76884399775544,51.46443322166108,116.96284814240713,805,313,805,2.554931296674612
True,cair,1,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,cluster_1563324002_1563324346,False,20000,ppa_greedy_cair_93_0,ppa_greedy,0,232.65618364737924,140.27347840586958,278.8475362681341,1606,796,1606,2.268683208555307
True,grid_5_5,3,13 17 21 0,13 17 21,False,20000,ppa_greedy_grid_5_5_39_0,ppa_greedy,0,127.20545427271362,93.27197609880494,133.66897392488673,705,528,705,1.7058794276505138
True,iitb,1,4369058864 cluster_-172_5366445082 668685374 667357401,668685374,False,20000,ppa_greedy_iitb_25_0,ppa_greedy,0,607.6723305629265,357.277236769639,657.7513493215841,3822,1459,3822,2.0512391479300582
True,cair,3,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,cluster_1563324004_1563324334 cluster_1563324002_1563324346 1563324349,False,20000,ppa_greedy_cair_95_0,ppa_greedy,0,97.65934685623168,54.31403236828508,119.332004100205,764,338,764,2.579596794038756
True,grid_5_5,3,21 22 9 7 24,21 22 9,False,20000,ppa_greedy_grid_5_5_79_0,ppa_greedy,0,548.8054502725136,90.25750287514374,663.4424371218561,19998,666,19998,8.85571965741198
True,grid_5_5,1,4 13 0 11 16,0,False,20000,ppa_greedy_grid_5_5_5_0,ppa_greedy,0,327.7563035973382,234.4856256566769,351.0739730825037,2543,912,2543,1.7237319414556247
True,iitb,4,3215340463 667357401 668685374 667357387,668685374 667357401 667357387 3215340463,False,20000,ppa_greedy_iitb_100_0,ppa_greedy,0,167.19852181448522,118.69751774822518,176.8987226277372,1294,735,1294,1.7797734998076566
True,cair,4,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,1563324336 cluster_1563324010_1563324356 1563324327 1563324011,False,20000,ppa_greedy_cair_60_0,ppa_greedy,0,76.3406,39.52853333333333,94.74663333333334,532,294,532,2.7866071659321365
True,iitb,1,667357401 5366445083 667357361 1990860600 667357415 -22,1990860600,False,20000,ppa_greedy_iitb_69_0,ppa_greedy,0,647.4874974994999,434.7400230046009,718.4033223311328,5951,2225,5951,1.803849484209885
True,grid_5_5,4,17 19 21 13 14,21 13 14 19,False,20000,ppa_greedy_grid_5_5_44_0,ppa_greedy,0,502.4891144557228,77.97442872143607,608.6177858892945,19998,496,19998,9.18088435474012
True,grid_5_5,2,22 9 0 10 23 24,23 0,False,20000,ppa_greedy_grid_5_5_82_0,ppa_greedy,0,171.03333933213358,154.5585049656735,176.23591860575254,967,694,967,1.340830496526926
True,cair,1,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,1563324348,False,20000,ppa_greedy_cair_21_0,ppa_greedy,0,286.37519867071234,106.4638058084092,376.3308951018639,2104,431,2104,3.865223264655675
True,iitb,2,5882320075 668620103 3215340463 3215340464,3215340464 3215340463,False,20000,ppa_greedy_iitb_62_0,ppa_greedy,0,281.50909530478856,186.623762004802,300.4861619647859,2304,885,2304,2.1463331965845582
True,grid_5_5,1,13 1 12 4,12,False,20000,ppa_greedy_grid_5_5_1_0,ppa_greedy,0,709.546497223195,257.251188272377,795.6979846423984,19986,1123,19986,3.287744143111041
True,grid_5_5,1,10 15 24 18 2 23,24,False,20000,ppa_greedy_grid_5_5_9_0,ppa_greedy,0,326.32415316936607,211.60586216090115,362.5509819088814,2196,791,2196,1.9460723881679391
True,grid_5_5,2,0 15 20 4,0 15,False,20000,ppa_greedy_grid_5_5_74_0,ppa_greedy,0,228.61214539273035,131.63185590720465,247.08458148521143,1360,744,1360,2.266796594434854
True,grid_5_5,2,20 10 6 1 24 15,15 24,False,20000,ppa_greedy_grid_5_5_46_0,ppa_greedy,0,192.3124537361209,120.72017438564902,214.92054195205927,1078,657,1078,2.031138473598871
True,grid_5_5,2,10 15 24 18 2 23,10 23,False,20000,ppa_greedy_grid_5_5_10_0,ppa_greedy,0,180.7095458183273,127.77136688008538,197.42686548303533,1186,588,1186,1.724071511403121
True,iitb,3,4369058864 cluster_-172_5366445082 668685374 667357401,668685374 667357401 cluster_-172_5366445082,False,20000,ppa_greedy_iitb_27_0,ppa_greedy,0,261.23898247192506,149.30569579126262,283.6256398080576,2351,757,2351,2.224451208403668
True,grid_5_5,3,20 10 6 1 24 15,1 6 24,False,20000,ppa_greedy_grid_5_5_47_0,ppa_greedy,0,145.04411117776448,92.46388222355527,161.64839400540947,921,524,921,2.042426559733171
True,iitb,3,667357401 5366445083 667357361 1990860600 667357415 -22,1990860600 667357415 -22,False,20000,ppa_greedy_iitb_71_0,ppa_greedy,0,260.9652670101202,180.5434318678204,287.7725453908868,3093,990,3093,1.755658542299522
True,cair,2,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,1563324343 cluster_1563324004_1563324334,False,20000,ppa_greedy_cair_86_0,ppa_greedy,0,144.2721205250464,60.37567520256077,168.242533474328,931,392,931,3.533168836601912
True,iitb,1,3215340463 667357401 668685374 667357387,667357387,False,20000,ppa_greedy_iitb_97_0,ppa_greedy,0,568.5640175219024,371.4741051314143,607.982,2891,1410,2891,1.828307323578747
True,iitb,1,5882320075 -22 667357387 1990860598 667357361,667357361,False,20000,ppa_greedy_iitb_65_0,ppa_greedy,0,518.0442555905748,476.2066036319976,529.0541640007267,2463,2310,2463,1.1727939979797368
True,cair,3,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,1563324343 cluster_1563324004_1563324334 1563324348,False,20000,ppa_greedy_cair_23_0,ppa_greedy,0,115.72631748571936,42.703198973127954,152.2378767420151,971,280,971,4.133921732224682
True,iitb,2,667357387 2055461156 -282 667357412 5366445083 4369058864,4369058864 5366445083,False,20000,ppa_greedy_iitb_106_0,ppa_greedy,0,318.1047677985031,249.3044873397677,341.0381946180816,2810,1304,2810,1.5673533030704063
True,iitb,2,3215340463 667357401 668685374 667357387,667357387 667357401,False,20000,ppa_greedy_iitb_98_0,ppa_greedy,0,295.0789130688254,193.5291200279832,315.38887167699386,2447,1046,2447,1.8742579807714728
True,cair,2,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,cluster_1563324004_1563324334 1563324357,False,20000,ppa_greedy_cair_94_0,ppa_greedy,0,133.78381944444448,72.28361666666666,164.53392083333335,949,476,949,2.568470577470062
True,iitb,4,5882320075 668620103 3215340463 3215340464,3215340463 5882320075 668620103 3215340464,False,20000,ppa_greedy_iitb_64_0,ppa_greedy,0,181.60509574042595,134.79935756424356,190.9662433756625,1783,866,1783,1.8847835169861693
True,grid_5_5,2,21 22 9 7 24,7 9,False,20000,ppa_greedy_grid_5_5_78_0,ppa_greedy,0,594.2527223611805,124.7584892446223,711.6262806403203,19989,701,19989,6.552580065472072
True,iitb,3,5882320075 -22 667357387 1990860598 667357361,667357387 667357361 5882320075,False,20000,ppa_greedy_iitb_67_0,ppa_greedy,0,196.0751296092552,182.93350670134024,199.5334514271276,1138,967,1138,1.1792110263761624
True,grid_5_5,3,10 15 24 18 2 23,15 23 10,False,20000,ppa_greedy_grid_5_5_11_0,ppa_greedy,0,137.31715557333598,94.52207831174675,150.8313904980484,1085,471,1085,1.7940288523934618
True,cair,3,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,414035791 1154147727 1563324357,False,20000,ppa_greedy_cair_91_0,ppa_greedy,0,93.48142127522412,58.60563197118992,106.89518639216033,790,359,790,2.044833346735191
True,iitb,2,5882320075 -22 667357387 1990860598 667357361,5882320075 -22,False,20000,ppa_greedy_iitb_66_0,ppa_greedy,0,288.554475478429,274.6171634326866,292.2221891746771,1631,1319,1631,1.1452240679004695
True,grid_5_5,4,0 15 20 4,20 4 0 15,False,20000,ppa_greedy_grid_5_5_76_0,ppa_greedy,0,129.81385922815437,69.875899820036,141.2306134011293,873,415,873,2.5243657661804884
True,grid_5_5,3,0 15 20 4,15 20 0,False,20000,ppa_greedy_grid_5_5_75_0,ppa_greedy,0,165.41454309138172,94.42833933213358,178.93572475980994,1084,519,1084,2.332978706576172
True,iitb,1,667357387 2055461156 -282 667357412 5366445083 4369058864,4369058864,False,20000,ppa_greedy_iitb_105_0,ppa_greedy,0,567.1871894280474,426.6491412372852,614.0332054916346,5651,1794,5651,1.6293841673751748
True,iitb,3,5882320075 668620103 3215340463 3215340464,3215340463 668620103 3215340464,False,20000,ppa_greedy_iitb_63_0,ppa_greedy,0,209.6322458333333,160.5911625,219.4404625,1524,858,1524,1.7288210404816209
True,iitb,1,667357387 667357401 668672700 667357412 667357419,667357412,False,20000,ppa_greedy_iitb_101_0,ppa_greedy,0,670.9882345098822,425.0845215478452,735.6997379209447,5528,2725,5528,2.039201354533129
True,iitb,2,667357387 667357401 668672700 667357412 667357419,667357387 667357419,False,20000,ppa_greedy_iitb_102_0,ppa_greedy,0,357.6855196926513,215.8798239911996,395.0028080351386,3409,1060,3409,2.1856296445129546
True,grid_5_5,4,13 1 12 4,1 12 4 13,False,20000,ppa_greedy_grid_5_5_4_0,ppa_greedy,0,505.7466326734653,82.0122225554889,586.4579488864132,20003,508,20003,8.71164691785434
True,cair,2,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,1563324336 1154147727,False,20000,ppa_greedy_cair_18_0,ppa_greedy,0,137.55354176735608,107.55678216089196,149.0907570006115,776,499,776,1.4883553401865317
True,cair,2,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,cluster_1563324333_1563324337 cluster_1563324010_1563324356,False,20000,ppa_greedy_cair_58_0,ppa_greedy,0,129.77459460360316,73.83624985417396,157.74376697831778,789,388,789,2.3897982273517533
True,grid_5_5,2,13 1 12 4,1 12,False,20000,ppa_greedy_grid_5_5_2_0,ppa_greedy,0,585.7592097629289,138.73803391017304,670.906100401549,19993,675,19993,5.232234053525963
True,cair,4,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,1563324011 1563324336 cluster_1563324002_1563324346 1154147727,False,20000,ppa_greedy_cair_20_0,ppa_greedy,0,74.43930329189304,59.714818518148185,80.1025666664103,540,449,540,1.608074798808648
True,iitb,3,667357387 2055461156 -282 667357412 5366445083 4369058864,4369058864 -282 5366445083,False,20000,ppa_greedy_iitb_107_0,ppa_greedy,0,195.5476372014733,154.2153059013716,209.3250809681738,1972,925,1972,1.4905063909987042
True,grid_5_5,2,17 19 21 13 14,13 21,False,20000,ppa_greedy_grid_5_5_42_0,ppa_greedy,0,575.2937648824413,138.51721860930465,684.4879014507253,19989,710,19989,5.670914457960291
True,cair,3,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,1563324327 cluster_1563324333_1563324337 1563324343,False,20000,ppa_greedy_cair_87_0,ppa_greedy,0,110.2730474587382,45.759537023148845,128.70547901176369,951,356,951,3.899563397895135
True,iitb,4,5882320075 -22 667357387 1990860598 667357361,667357387 667357361 5882320075 1990860598,False,20000,ppa_greedy_iitb_68_0,ppa_greedy,0,151.8242745470607,141.25018250912547,154.60693034651732,871,725,871,1.208030100160824
True,iitb,2,4369058864 cluster_-172_5366445082 668685374 667357401,4369058864 cluster_-172_5366445082,False,20000,ppa_greedy_iitb_26_0,ppa_greedy,0,355.9796574634456,208.894775671485,385.39663382183767,3309,949,3309,2.132053730809645
True,iitb,3,667357387 667357401 668672700 667357412 667357419,667357412 667357419 667357401,False,20000,ppa_greedy_iitb_103_0,ppa_greedy,0,260.9207512664134,155.13423315336934,288.7593086645829,2343,955,2343,2.169120635391798
True,grid_5_5,2,4 13 0 11 16,16 13,False,20000,ppa_greedy_grid_5_5_6_0,ppa_greedy,0,216.9860713035652,167.54402720136008,229.34658232911644,1586,1002,1586,1.5900038754564392
True,cair,1,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,1154147728,False,20000,ppa_greedy_cair_53_0,ppa_greedy,0,243.58551132891068,133.06174617461744,286.0946517728696,1642,561,1642,2.2924980022568744
True,iitb,4,4369058864 cluster_-172_5366445082 668685374 667357401,4369058864 667357401 cluster_-172_5366445082 668685374,False,20000,ppa_greedy_iitb_28_0,ppa_greedy,0,201.3917287406889,117.34106134079887,218.20186222066687,1981,637,1981,2.138703515879166
True,cair,2,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,cluster_1563324010_1563324356 1563324324,False,20000,ppa_greedy_cair_54_0,ppa_greedy,0,134.15534778816615,73.00987950602469,157.67283558898978,878,383,878,2.393088004299422
True,grid_5_5,1,21 22 9 7 24,7,False,20000,ppa_greedy_grid_5_5_77_0,ppa_greedy,0,710.0440462023101,185.66816340817044,841.1380169008451,19998,866,19998,4.987060155506577
True,cair,4,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,1563324357 1563324324 cluster_1563324004_1563324334 1154147728,False,20000,ppa_greedy_cair_96_0,ppa_greedy,0,78.4771132336517,42.79003517194246,96.32065226450636,664,288,664,2.6368687225841407
True,cair,4,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,414035791 1154147727 1563324357 cluster_1563324010_1563324356,False,20000,ppa_greedy_cair_92_0,ppa_greedy,0,72.9731930070163,45.67601619919004,83.47210716387258,649,307,649,2.057834729691485
True,cair,3,1563324324 1154147728 1563324349 1563324336,1563324336 1563324349 1154147728,False,20000,ppa_greedy_cair_15_0,ppa_greedy,0,116.91201944444444,57.338875,133.93291785714283,929,327,929,2.823188248431252
True,iitb,2,667357401 5366445083 667357361 1990860600 667357415 -22,667357415 1990860600,False,20000,ppa_greedy_iitb_70_0,ppa_greedy,0,352.32986788363763,243.2558222889056,388.6878830818816,3291,1604,3291,1.7847474899392426
True,grid_5_5,4,22 9 0 10 23 24,10 22 23 0,False,20000,ppa_greedy_grid_5_5_84_0,ppa_greedy,0,99.320149970006,88.91623341998266,102.60559730159233,715,519,715,1.3656499661689254
True,grid_5_5,1,0 15 20 4,4,False,20000,ppa_greedy_grid_5_5_73_0,ppa_greedy,0,328.50451425712856,199.7123311655828,353.03635865551826,1451,905,1451,1.9834660778998168
True,cair,1,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,1563324348,False,20000,ppa_greedy_cair_89_0,ppa_greedy,0,226.4866547795609,137.02602609608556,260.89458888858974,1772,555,1772,2.040543049434603
True,cair,3,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,cluster_1563324002_1563324346 1563324324 1563324348,False,20000,ppa_greedy_cair_51_0,ppa_greedy,0,96.67516281033984,44.45530356071215,111.59512259594776,796,271,796,3.0453558514210624
True,iitb,3,4369058864 -22 668685374 668620103 -222 667357401,-22 4369058864 -222,False,20000,ppa_greedy_iitb_35_0,ppa_greedy,0,249.69463476028537,152.9347119423885,281.947942366251,2298,923,2298,2.130181883109901
True,grid_5_5,3,22 9 0 10 23 24,23 10 22,False,20000,ppa_greedy_grid_5_5_83_0,ppa_greedy,0,123.14240351929617,108.78038558954874,127.67777760237426,703,604,703,1.3900911726481775
True,cair,1,1563324324 1154147728 1563324349 1563324336,1154147728,False,20000,ppa_greedy_cair_13_0,ppa_greedy,0,288.73946973486744,142.06628314157078,330.6460944758094,1919,674,1919,2.607748576079953
True,iitb,1,667357419 -266 667357412 4369058864 -222,4369058864,False,20000,ppa_greedy_iitb_29_0,ppa_greedy,0,720.8843882331365,329.0220066019806,824.0060676097565,5956,1696,5956,2.6968700283947133
True,grid_5_5,2,13 17 21 0,0 13,False,20000,ppa_greedy_grid_5_5_38_0,ppa_greedy,0,172.25169366126775,126.59618076384724,180.947981832205,845,611,845,1.557762323117651
