,Algorithm,done,Graph,No. of Agents,Initial Locations,Parameters,Priority Nodes,Random String,sim_length,use_sim_time,Average Idleness,Priority Average Idleness,N. P. Average Idleness,Max Idleness,Priority Max Idleness,N. P.  Max Idleness,Average Ration,Depth,Sampling size
0,ppa_exhaustive,False,cair,2,1563324324 1563324336,0,1563324324 1154147728 1563324349 1563324336,ppa_exhaustive_cair_14_0,20000,True,194.727744720569,88.1964598229911,225.165254691306,1674,427,1674,2.88188250424845,0,
1,ppa_exhaustive,False,cair,3,1563324336 1563324349 1154147728,0,1563324324 1154147728 1563324349 1563324336,ppa_exhaustive_cair_15_0,20000,True,157.927786943986,68.809584520774,183.390130493475,1419,390,1419,3.13078999482059,0,
2,ppa_exhaustive,False,cair,4,1154147728 1563324336 1563324324 1563324349,0,1563324324 1154147728 1563324349 1563324336,ppa_exhaustive_cair_16_0,20000,True,111.933519990667,48.6827533623319,130.005167598763,1300,371,1300,3.25327396115752,0,
3,ppa_exhaustive,False,grid_5_5,2,0 13,0,13 17 21 0,ppa_exhaustive_grid_5_5_38_0,20000,True,338.318966206759,138.127137072585,376.450743184696,2303,362,2303,2.92808478000251,0,
4,ppa_exhaustive,False,iitb,1,4369058864,0,667357387 2055461156 -282 667357412 5366445083 4369058864,ppa_exhaustive_iitb_105_0,20000,True,598.664252566154,334.372525494901,686.761494923238,7104,1348,7104,2.24657736236466,0,
5,ppa_exhaustive,False,iitb,2,4369058864 667357412,0,667357419 -266 667357412 4369058864 -222,ppa_exhaustive_iitb_30_0,20000,True,806.606193547312,256.68102189781,951.323343981391,7134,1219,7134,3.95644356976307,0,
6,ppa_exhaustive,False,cair,3,cluster_1563324010_1563324356 1563324324 1563324348,0,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,ppa_exhaustive_cair_55_0,20000,True,113.937909477369,47.6134133533383,139.447331063535,891,408,891,3.22345494913513,0,
7,ppa_exhaustive,False,grid_5_5,3,13 17 21,0,13 17 21 0,ppa_exhaustive_grid_5_5_39_0,20000,True,238.834187162568,106.301164767047,264.078572380762,2265,358,2265,2.77587879152019,0,
8,ppa_exhaustive,False,iitb,3,667357387 667357361 5882320075,0,5882320075 -22 667357387 1990860598 667357361,ppa_exhaustive_iitb_67_0,20000,True,288.19817078251,249.039592081584,298.503059914333,2268,968,2268,1.29627156083091,0,
9,ppa_exhaustive,False,cair,1,1563324327,0,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,ppa_exhaustive_cair_57_0,20000,True,226.023128695923,103.955098706149,287.05714369081,1451,417,1451,2.92128040036945,0,
10,ppa_exhaustive,False,cair,2,1563324357 cluster_1563324010_1563324356,0,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,ppa_exhaustive_cair_90_0,20000,True,234.022945108433,115.64265639846,279.553825381499,1635,480,1635,2.58275100328122,0,
11,ppa_exhaustive,False,iitb,3,667357387 667357401 3215340463,0,3215340463 667357401 668685374 667357387,ppa_exhaustive_iitb_99_0,20000,True,587.251304362321,260.333737560634,652.634817722658,5829,848,5829,2.81599612918127,0,
12,ppa_exhaustive,False,grid_5_5,4,10 22 23 0,0,22 9 0 10 23 24,ppa_exhaustive_grid_5_5_84_0,20000,True,126.151935612877,109.748700259948,131.331904671697,655,655,654,1.41596117736913,0,
13,ppa_exhaustive,False,iitb,4,668685374 667357401 667357387 3215340463,0,3215340463 667357401 668685374 667357387,ppa_exhaustive_iitb_100_0,20000,True,390.71043457617,182.533274190324,432.345866653339,3481,720,3481,2.84194726080133,0,
14,ppa_exhaustive,False,iitb,1,667357387,0,3215340463 667357401 668685374 667357387,ppa_exhaustive_iitb_97_0,20000,True,762.888550253976,348.629740194854,845.740312265801,5969,851,5969,2.62275994207516,0,
15,ppa_exhaustive,False,cair,2,1154147726 cluster_1563324004_1563324334,0,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,ppa_exhaustive_cair_22_0,20000,True,220.905867902717,79.3260054021609,291.695799152994,1932,367,1932,4.10039909898984,0,
16,ppa_exhaustive,False,grid_5_5,2,23 0,0,22 9 0 10 23 24,ppa_exhaustive_grid_5_5_82_0,20000,True,152.826344731054,133.534926348064,158.91837158884,682,682,659,1.35252810042029,0,
17,ppa_exhaustive,False,cair,3,cluster_1563324002_1563324346 1563324324 1563324348,0,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,ppa_exhaustive_cair_51_0,20000,True,116.945066791136,54.3474069813963,134.830112451062,1125,320,1125,3.06820229926785,0,
18,ppa_exhaustive,False,grid_5_5,4,11 0 4 16,0,4 13 0 11 16,ppa_exhaustive_grid_5_5_8_0,20000,True,242.757719657949,121.182447367105,273.15153773066,3288,714,3288,2.5186918445239,0,
19,ppa_exhaustive,False,iitb,2,4369058864 cluster_-172_5366445082,0,4369058864 cluster_-172_5366445082 668685374 667357401,ppa_exhaustive_iitb_26_0,20000,True,517.357764734348,237.551374148979,573.319042851422,7285,805,7285,2.64222684556274,0,
20,ppa_exhaustive,False,grid_5_5,2,13 21,0,17 19 21 13 14,ppa_exhaustive_grid_5_5_42_0,20000,True,228.124862240051,169.123329462683,242.875245434392,2205,714,2205,1.59850173792419,0,
21,ppa_exhaustive,False,iitb,4,-266 667357412 -222 4369058864,0,667357419 -266 667357412 4369058864 -222,ppa_exhaustive_iitb_32_0,20000,True,440.023055805506,160.540211957609,513.571172607584,3797,881,3797,3.58437064411362,0,
22,ppa_exhaustive,False,grid_5_5,3,15 23 10,0,10 15 24 18 2 23,ppa_exhaustive_grid_5_5_11_0,20000,True,298.098272345531,130.837540825168,350.917450720382,3240,487,3240,2.87843845613171,0,
23,ppa_exhaustive,False,cair,1,cluster_1563324002_1563324346,0,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,ppa_exhaustive_cair_93_0,20000,True,263.136890667556,106.827905619476,341.291383191596,1691,483,1691,3.40854893373543,0,
24,ppa_exhaustive,False,grid_5_5,1,23,0,22 9 0 10 23 24,ppa_exhaustive_grid_5_5_81_0,20000,True,268.005680863827,262.216223421982,269.833930582305,1183,984,1183,1.14164035318862,0,
25,ppa_exhaustive,False,grid_5_5,2,0 15,0,0 15 20 4,ppa_exhaustive_grid_5_5_74_0,20000,True,254.344898755062,130.796610169492,277.877906104695,1448,606,1448,2.52438830122249,0,
26,ppa_exhaustive,False,cair,4,414035791 1154147727 1563324357 cluster_1563324010_1563324356,0,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,ppa_exhaustive_cair_92_0,20000,True,160.580007335534,86.9569270781234,188.896576665307,1321,462,1321,2.38911035654484,0,
27,ppa_exhaustive,False,grid_5_5,1,0,0,4 13 0 11 16,ppa_exhaustive_grid_5_5_5_0,20000,True,416.30087843922,203.489244622311,469.503786893447,3629,772,3629,2.5429298530827,0,
28,ppa_exhaustive,False,iitb,3,667357412 667357419 667357401,0,667357387 667357401 668672700 667357412 667357419,ppa_exhaustive_iitb_103_0,20000,True,350.646331349603,203.781916383277,389.2948616039,4361,1009,4361,2.15106309781977,0,
29,ppa_exhaustive,False,cair,1,1154147728,0,1563324324 1154147728 1563324349 1563324336,ppa_exhaustive_cair_13_0,20000,True,288.680534724305,123.534246575342,335.865188481152,2130,445,2130,2.94448605662947,0,
30,ppa_exhaustive,False,grid_5_5,4,15 10 2 24,0,10 15 24 18 2 23,ppa_exhaustive_grid_5_5_12_0,20000,True,276.762087582484,119.990943477971,326.268764668119,3245,480,3245,3.00114236053083,0,
31,ppa_exhaustive,False,iitb,2,667357387 667357419,0,667357387 667357401 668672700 667357412 667357419,ppa_exhaustive_iitb_102_0,20000,True,394.803380404899,231.970997250687,437.654007550744,3694,1101,3694,2.14869019836327,0,
32,ppa_exhaustive,False,cair,2,cluster_1563324333_1563324337 cluster_1563324010_1563324356,0,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,ppa_exhaustive_cair_58_0,20000,True,171.794563628989,77.2504792385525,219.066605824207,1241,345,1241,3.08695043418663,0,
33,ppa_exhaustive,False,iitb,3,-22 4369058864 -222,0,4369058864 -22 668685374 668620103 -222 667357401,ppa_exhaustive_iitb_35_0,20000,True,263.348563821809,153.871289768845,299.84098850613,2274,804,2274,2.22836894102804,0,
34,ppa_exhaustive,False,iitb,2,-22 4369058864,0,4369058864 -22 668685374 668620103 -222 667357401,ppa_exhaustive_iitb_34_0,20000,True,298.263287713504,179.066836802776,337.99543801708,2873,809,2873,2.10570528822528,0,
35,ppa_exhaustive,False,iitb,1,667357412,0,667357387 667357401 668672700 667357412 667357419,ppa_exhaustive_iitb_101_0,20000,True,682.467121598427,338.153476978453,773.075975445788,6382,1413,6382,2.46390539551123,0,
36,ppa_exhaustive,False,cair,3,414035791 1154147727 1563324357,0,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,ppa_exhaustive_cair_91_0,20000,True,122.391908484313,64.5385469273464,144.643201390839,1324,431,1324,2.47016276150141,0,
37,ppa_exhaustive,False,cair,2,1563324343 cluster_1563324004_1563324334,0,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,ppa_exhaustive_cair_86_0,20000,True,194.925038888889,71.29235,230.248664285714,1409,381,1409,3.99656455007888,0,
38,ppa_exhaustive,False,cair,3,1563324011 cluster_1563324002_1563324346 1154147727,0,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,ppa_exhaustive_cair_19_0,20000,True,125.741429698525,71.6856485648565,146.532114749937,967,461,967,2.31929581740427,0,
39,ppa_exhaustive,False,grid_5_5,2,1 12,0,13 1 12 4,ppa_exhaustive_grid_5_5_2_0,20000,True,332.910689862028,155.039704559088,366.790877538778,2492,485,2492,2.63499154375388,0,
40,ppa_exhaustive,False,grid_5_5,3,1 6 24,0,20 10 6 1 24 15,ppa_exhaustive_grid_5_5_47_0,20000,True,228.530292116847,103.095304788582,268.141340746825,2180,516,2180,3.09159593653648,0,
41,ppa_exhaustive,False,iitb,4,667357415 1990860600 667357401 667357361,0,667357401 5366445083 667357361 1990860600 667357415 -22,ppa_exhaustive_iitb_72_0,20000,True,318.282764916097,177.474233478351,365.218942062012,3379,851,3379,2.32855565598033,0,
42,ppa_exhaustive,False,cair,3,cluster_1563324010_1563324356 1563324011 1563324327,0,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,ppa_exhaustive_cair_59_0,20000,True,116.619374586826,56.3022848857557,146.777919437361,960,309,960,2.92678447889125,0,
43,ppa_exhaustive,False,grid_5_5,4,24 20 10 6,0,20 10 6 1 24 15,ppa_exhaustive_grid_5_5_48_0,20000,True,244.952471505699,113.267488169033,286.537203085699,2168,558,2168,2.97865936465293,0,
44,ppa_exhaustive,False,iitb,2,667357415 1990860600,0,667357401 5366445083 667357361 1990860600 667357415 -22,ppa_exhaustive_iitb_70_0,20000,True,377.696523195361,222.385722855429,429.466789975338,3955,986,3955,2.13238212300153,0,
