,location,Radius,covered_nodes,Total_nodes_covered
0,"[522.6166261632229, 1144.436250894746]",232.3079441779591,"['245674992', '4348259295', '6571330023', '6583550562', '668672574', '668672699']",6
1,"[915.2659773665066, 326.3907858652519]",237.9087291310444,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '667357309', '667357310', '667357311', '667357317', '667357368', '668660548', '668699237', '668699249']",19
2,"[619.2194889586542, 94.05870279347528]",234.04447724468315,"['6435688923', '6435688924', '668699234', '668699237', '668699242']",5
3,"[234.40387591166674, 1394.3948601386905]",255.06955822741622,"['4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '668672699']",8
4,"[827.7283899292013, 770.7110850231649]",243.66244606756234,"['3215340463', '5077600694', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357318', '667357325', '667357326', '667357330']",11
5,"[692.686525845644, 1378.6628426807056]",252.28752492745437,"['4348259298', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445092', '5584937650', '6573701501', '6573701505', '667357361', '668672699', '668672704']",13
6,"[1148.474745682953, 1171.2316815762724]",248.47839002873113,"['2055461155', '4348259327', '4348259340', '4369058864', '5882320075', '667357367', '667357405', '667357407', '667357409', '667357412', '667357415', '667357419', 'cluster_668620092_7147944044_7147944046']",13
7,"[766.7646651800688, 1063.7926737653918]",248.73200600683427,"['5077600694', '5366445083', '5366445084', '6583550562', '668672700', '7147944038', 'cluster_668620092_7147944044_7147944046']",7
8,"[951.6809147262056, 1658.615573100866]",229.35182506125716,"['1990860600', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '6572115060', '6573701501', '6573701524', '667357421', '668612331', '6786321691']",12
9,"[1225.443753414525, 891.9753184814406]",243.75421502088722,"['2055461155', '6576461331', '667357392', '667357401', '667357405', '667357407', '667362347']",7
10,"[1098.517697214006, 1422.0303691357856]",242.0797187069967,"['1990860600', '4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259341', '4348265099', '5882320075', '6573701524', '667357367', '667357419', '667357421', '668612331', '668672704', 'cluster_4348259335_7265460758']",16
11,"[1182.2714260944615, 513.6949938040834]",236.52585853138092,"['5366445105', '5879215634', '5879215641', '5879215642', '5879215643', '667357368', '667357382', '667357383', '667357385', '667357387', '667362347', '668685375', '668685380', '668699249', 'cluster_5879215623_5879215625']",15
