,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[904.9606683642143, 292.9910932357407]",221.55994189270484,"['5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442', '667357309', '667357310', '667357311', '667357317', '668660548', '668699237', '668699249']",16
1,1,"[534.1835125604523, 1308.1999086054616]",236.4553669678696,"['245674992', '4348259295', '4348259298', '5366445085', '5366445092', '6571330021', '6571330022', '667357361', '668672574', '668672699']",10
2,2,"[1101.2358572802063, 1309.849960124517]",236.94126190843699,"['4348259325', '4348259327', '4348259329', '4348259331', '4348259333', '4348259340', '4348259341', '4369058864', '5366445082', '5882320075', '6573701524', '667357367', '667357412', '667357419', '668672704', 'cluster_4348259335_7265460758', 'cluster_668620092_7147944044_7147944046']",17
3,3,"[844.8632636118027, 711.0218766915026]",230.61173675514223,"['3215340463', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '667357317', '667357318', '667357325', '667357326']",10
4,4,"[1172.9123390508626, 1121.8067993679408]",235.53208340338844,"['2055461155', '4369058864', '5882320075', '667357405', '667357407', '667357409', '667357412', '667357415', 'cluster_668620092_7147944044_7147944046']",9
5,5,"[987.0072094404385, 1598.4213924994149]",237.26203240645617,"['1990860600', '4348259325', '4348259329', '4348259331', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6572115060', '6573701501', '6573701524', '667357421', '668612331', '6786321691']",15
6,6,"[209.07255975255083, 1341.737745976999]",214.49346288640166,"['4348259319', '4348259324', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023']",7
7,7,"[601.6174230367992, 90.30053718822796]",216.4302667144325,"['6435688923', '6435688924', '668699193', '668699234', '668699237', '668699242']",6
8,8,"[736.7842307703285, 1371.2628105068711]",235.92144484231358,"['4348265101', '4348265105', '4348265107', '5366445082', '5366445083', '5366445085', '5366445092', '5584937650', '6573701505', '6573701524', '668672704']",11
9,9,"[1165.2303113469814, 941.5969867127675]",233.03437389060812,"['2055461155', '4369058864', '6568909595', '6576461331', '667357392', '667357401', '667357405', '667357407', '7147944038']",9
10,10,"[1264.8868261133946, 689.6506290024737]",229.4777130573885,"['5366445105', '5879215634', '6576461331', '667357382', '667357383', '667357385', '667357387', '667357392', '667362347', '668685375', '668685380', 'cluster_5879215623_5879215625']",12
11,11,"[726.9165767651376, 1033.4493818083104]",235.58054381252458,"['5077600694', '5366445083', '5366445084', '6583550562', '667357330', '668672700', '7147944038']",7
12,12,"[1065.8208450293166, 385.1052518501802]",222.54937654098256,"['5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215650', '6495983054', '667357309', '667357310', '667357311', '667357317', '667357368', '668685375', '668699249']",14
